customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
9489-DEDVP,Female,0,Yes,Yes,42,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),87.25501281408327,4912.962195987946,No
9867-JCZSP,Female,0,Yes,Yes,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,32.801529966751694,474.3414010747464,No
4671-VJLCL,Female,0,No,No,52,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),97.47729634931714,4918.219693691413,No
4080-IIARD,Female,0,Yes,No,10,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,83.2066775305142,1045.67843286738,No
3714-NTNFO,Female,0,No,No,48,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,96.27719066601536,3956.2217357618442,No
5948-UJZLF,Male,0,No,No,1,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,72.18203257483525,130.2533259065372,No
7760-OYPDY,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,88.71787075477941,177.49749913543724,Yes
7639-LIAYI,Male,0,No,No,48,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),93.27588189758305,4285.05071357309,No
2954-PIBKO,Female,0,Yes,Yes,41,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),74.0684994314274,4308.508485996553,No
8012-SOUDQ,Female,1,No,No,38,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,102.09430957247211,3904.950005563311,No
9420-LOJKX,Female,0,No,No,12,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),114.82282377359293,1477.1212252336006,Yes
6575-SUVOI,Female,1,Yes,No,19,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),80.90804786922502,1804.6673974275532,No
7495-OOKFY,Female,1,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),100.65063414431776,677.3184174203549,Yes
4667-QONEA,Female,1,Yes,Yes,40,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),95.766418353107,,No
1658-BYGOY,Male,1,No,No,14,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,108.11054211308398,1789.055024106237,Yes
8769-KKTPH,Female,0,Yes,Yes,43,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),114.72126135630897,6358.420493971102,No
5067-XJQFU,Male,1,Yes,Yes,59,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,118.47285547759647,7159.24829937939,No
3957-SQXML,Female,0,Yes,Yes,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),36.68588565145778,928.4869986704267,No
5954-BDFSG,Female,0,No,No,54,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),123.90073110234545,7925.781444690356,No
0434-CSFON,Female,0,Yes,No,30,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,113.8566720417283,4724.376653164753,No
1215-FIGMP,Male,0,No,No,59,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),100.48938184223321,5475.2713204313795,No
0526-SXDJP,Male,0,Yes,No,65,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),49.27039920296849,3019.447268182505,No
0557-ASKVU,Female,0,Yes,Yes,11,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),64.64057799072947,1039.3843580494702,No
5698-BQJOH,Female,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,115.77760516736512,885.9408146123807,Yes
5122-CYFXA,Female,0,No,No,2,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,76.16286751308604,293.0449155608228,No
8627-ZYGSZ,Male,0,Yes,No,37,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,91.80039840778353,3723.4479861723053,No
3410-YOQBQ,Female,0,No,No,23,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,90.94827478008963,2548.3041175250355,No
3170-NMYVV,Female,0,Yes,Yes,47,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),33.72846333652491,991.1029680691898,No
7410-OIEDU,Male,0,No,No,7,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,94.21208571370705,935.3680080887899,No
2273-QCKXA,Male,0,No,No,0,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,53.69331314041154,117.22911550428506,No
0731-EBJQB,Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,37.87328950096435,1114.355117387671,No
1891-QRQSA,Male,1,Yes,Yes,51,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),123.18977397881393,7152.079768187293,No
8028-PNXHQ,Male,0,Yes,Yes,60,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),35.13697728996298,1475.056529887762,No
5630-AHZIL,Female,0,No,Yes,2,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),81.97103940631959,273.1663148083303,No
2673-CXQEU,Female,1,No,No,34,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,120.40330991953529,6195.465079785751,No
6416-JNVRK,Female,0,No,No,41,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),61.228131339978454,2761.3409575671867,No
5590-ZSKRV,Female,0,Yes,Yes,6,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,64.92107419918035,510.2988012224324,No
0191-ZHSKZ,Male,1,No,No,22,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,86.78772525815056,2160.0636553432932,No
3887-PBQAO,Female,0,Yes,Yes,37,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),41.65447792130389,1257.7975224492416,No
5919-TMRGD,Female,0,No,Yes,0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,94.5876578144711,129.1174932896078,Yes
8108-UXRQN,Female,0,Yes,Yes,10,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,59.96719913342193,596.4858440706395,No
9191-MYQKX,Female,0,Yes,No,5,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),89.22924015732137,532.3926070902278,Yes
9919-YLNNG,Female,0,No,No,33,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),122.44673610975019,4384.073707950678,No
0318-ZOPWS,Female,0,Yes,No,45,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),31.863563017978514,975.7298488982085,No
4445-ZJNMU,Male,0,No,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),107.44263044277864,978.1270638119121,No
4808-YNLEU,Female,0,Yes,No,25,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),84.22950903556293,2246.6941347560523,No
1862-QRWPE,Female,0,Yes,Yes,35,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),43.508172334685966,1101.1342315606053,No
2796-NNUFI,Female,0,Yes,Yes,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,29.790551302573512,968.7235200045405,No
3016-KSVCP,Male,0,Yes,No,21,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,48.716776539659485,1083.3005355194823,No
4767-HZZHQ,Male,0,Yes,Yes,20,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),101.3172013867114,2617.8961592398064,No
2424-WVHPL,Male,1,No,No,0,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,81.60047627696648,117.01087411858498,No
7233-PAHHL,Male,0,Yes,Yes,60,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,95.17766219590017,5736.81935058488,No
6067-NGCEU,Female,0,No,No,61,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),120.49079039335237,7182.140932821489,No
9848-JQJTX,Male,0,No,No,53,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),118.92429850188451,7497.913844837931,No
8637-XJIVR,Female,0,No,No,10,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,95.81090525342455,965.8648386361664,Yes
9803-FTJCG,Male,0,Yes,Yes,68,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),78.85854536103716,4818.360477517046,No
0278-YXOOG,Male,0,No,No,4,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,37.2836125087679,149.80484244423837,Yes
3212-KXOCR,Male,0,No,No,43,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),27.663817277556767,1162.9365695112863,No
4598-XLKNJ,Female,1,Yes,No,15,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,110.63750177018751,2576.4587930069315,Yes
6380-ARCEH,Male,0,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,35.72446896012971,75.76268784960662,No
3679-XASPY,Female,0,Yes,Yes,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,31.249933978697946,97.52241558183555,No
7123-WQUHX,Male,0,No,No,26,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),103.7908811408061,3680.2400934835932,No
5386-THSLQ,Female,1,Yes,No,56,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),58.386751673007424,3050.5981032435,No
3192-NQECA,Male,0,Yes,No,46,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),123.75791775850912,7674.3891445993995,Yes
6180-YBIQI,Male,0,No,No,3,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,48.18893382380966,176.12273962045307,No
6728-DKUCO,Female,0,Yes,Yes,56,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,108.47905083188537,7351.018412192412,No
9750-BOOHV,Female,0,No,No,30,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,46.07460834336881,980.494065140827,No
8597-CWYHH,Male,0,No,No,34,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,111.79929699786233,3976.7613777393753,No
2848-YXSMW,Male,0,Yes,Yes,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),33.66013405232961,1422.9476031908152,No
0486-HECZI,Male,0,Yes,No,48,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,112.6117280582871,5304.7879449858165,Yes
4549-ZDQYY,Female,0,No,No,38,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),74.03409184793006,3109.6147318694243,No
5712-AHQNN,Female,0,No,No,27,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,109.98350874821747,4021.113116034387,No
4846-WHAFZ,Female,1,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,90.8611848448509,2949.4556989491093,Yes
5256-SKJGO,Female,0,Yes,Yes,41,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,68.28725106550569,3468.4064472740874,No
3071-VBYPO,Male,0,Yes,Yes,2,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,109.60370646925267,309.823043992138,No
9560-BBZXK,Female,0,No,No,27,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),54.36275699778736,1187.902929541689,No
5299-RULOA,Female,0,Yes,Yes,8,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.75567581741679,1115.8418714362635,Yes
8402-OOOHJ,Female,0,No,No,40,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,35.21659865579035,883.9474190808102,No
9445-ZUEQE,Male,0,Yes,Yes,20,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),102.42742709133984,2202.4311574321455,No
1091-SOZGA,Female,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),115.83074573701407,5525.756112748437,No
2928-HLDBA,Female,0,No,No,5,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,37.192709944818375,160.85726028905134,No
0404-SWRVG,Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,97.40542771088445,268.75171091553307,Yes
6497-TILVL,Female,0,Yes,Yes,6,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,73.63648063757529,392.9632912250896,No
7219-TLZHO,Female,0,Yes,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,41.86782311667356,99.38098243737662,No
4622-YNKIJ,Male,0,No,No,28,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,98.65033772242558,3072.379083289184,No
4412-YLTKF,Female,1,No,No,18,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,95.47150474412274,2171.208219796828,Yes
6734-PSBAW,Male,0,Yes,No,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),42.2784076549084,1754.6529724083039,No
3930-ZGWVE,Male,0,No,No,0,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,31.51356872152694,106.07062670895054,No
2639-UGMAZ,Male,1,No,No,48,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,69.0570110526119,4049.462568733394,No
2876-GZYZC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,100.41702134100902,1268.800066845782,No
6207-WIOLX,Female,0,Yes,Yes,21,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),84.66402168309425,1572.2786387960518,Yes
8587-XYZSF,Male,0,No,No,66,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),60.047688837066275,3325.893373705238,No
3091-FYHKI,Male,0,No,No,0,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,54.55930234028614,,Yes
2372-HWUHI,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,60.808617603903286,125.80555107160745,Yes
7799-LGRDP,Female,0,No,No,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),37.187418520092066,1259.5893768335482,No
7850-VWJUU,Female,0,No,No,15,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),87.5582890269234,1850.9633857168715,No
3774-VBNXY,Female,0,Yes,Yes,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,41.62677409366242,1351.825940729185,No
6217-KDYWC,Male,0,No,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,34.038737603441746,1241.8661797525829,No
0390-DCFDQ,Female,1,Yes,No,0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,89.37553285160308,140.06924872748456,Yes
3146-MSEGF,Female,1,Yes,Yes,62,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),106.75634248337548,6478.335657653584,No
4080-OGPJL,Female,0,No,No,5,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,80.34379315122351,583.8697375360047,Yes
1095-WGNGG,Female,0,Yes,No,40,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),114.76753885742978,6012.581806721309,No
2636-SJDOU,Male,0,No,No,43,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),96.61885201331597,,No
1131-QQZEB,Male,1,Yes,No,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),37.95770239040749,1820.1814521728088,No
5716-EZXZN,Female,0,Yes,Yes,48,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),114.69277107222891,,No
6837-BJYDQ,Male,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,27.35755254653936,79.78726882732381,No
2135-RXIHG,Male,0,No,No,0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,60.0810512800412,73.07976279735362,Yes
6440-DKQGE,Male,0,No,Yes,23,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),79.66081373806767,1967.4088894368433,No
3466-BYAVD,Male,0,Yes,Yes,13,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,87.61913387264659,1155.7370270011456,No
3780-YVMFA,Female,0,Yes,Yes,6,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,90.3556422546134,621.2472716433351,No
3874-EQOEP,Male,0,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,106.26018952475228,702.8666121273211,Yes
1679-JRFBR,Female,0,Yes,Yes,49,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),128.93799834804946,7975.810282635294,No
